repository,number,author,isApprove
"microsoft/Typescript",58462,"sheetalkamat",false
"microsoft/Typescript",58475,"jakebailey",true
"microsoft/Typescript",58475,"weswigham",false
"microsoft/Typescript",58478,"a-tarasyuk",false
"microsoft/Typescript",58478,"andrewbranch",false
"microsoft/Typescript",58478,"jakebailey",true
"microsoft/Typescript",58481,"RyanCavanaugh",true
"microsoft/Typescript",58481,"jakebailey",false
"microsoft/Typescript",58486,"jakebailey",true
"microsoft/Typescript",58486,"sheetalkamat",false
"microsoft/Typescript",58487,"sheetalkamat",true
"microsoft/Typescript",58489,"jakebailey",false
"microsoft/Typescript",58489,"rbuckton",true
"microsoft/Typescript",58500,"jakebailey",true
"microsoft/Typescript",58510,"jakebailey",true
"microsoft/Typescript",58514,"Andarist",false
"microsoft/Typescript",58514,"jakebailey",true
"microsoft/Typescript",58514,"sandersn",true
"microsoft/Typescript",58516,"dragomirtitian",false
"microsoft/Typescript",58516,"jakebailey",false
"microsoft/Typescript",58516,"weswigham",true
"microsoft/Typescript",58521,"jakebailey",true
"microsoft/Typescript",58522,"jakebailey",true
"microsoft/Typescript",58525,"andrewbranch",true
"microsoft/Typescript",58525,"sheetalkamat",false
"microsoft/Typescript",58527,"jakebailey",true
"microsoft/Typescript",58528,"jakebailey",true
"microsoft/Typescript",58528,"sheetalkamat",false
"microsoft/Typescript",58536,"sheetalkamat",true
"microsoft/Typescript",58536,"weswigham",false
"microsoft/Typescript",58537,"andrewbranch",true
"microsoft/Typescript",58537,"iisaduan",false
"microsoft/Typescript",58538,"weswigham",true
"microsoft/Typescript",58539,"jakebailey",true
"microsoft/Typescript",58539,"weswigham",false
"microsoft/Typescript",58546,"weswigham",true
"microsoft/Typescript",58547,"RyanCavanaugh",true
"microsoft/Typescript",58547,"rbuckton",true
"microsoft/Typescript",58548,"andrewbranch",true
"microsoft/Typescript",58548,"navya9singh",true
"microsoft/Typescript",58554,"andrewbranch",true
"microsoft/Typescript",58560,"jakebailey",true
"microsoft/Typescript",58562,"jakebailey",true
"microsoft/Typescript",58573,"petamoriken",false
"microsoft/Typescript",58573,"rbuckton",true
"microsoft/Typescript",58585,"jakebailey",true
"microsoft/Typescript",58585,"sandersn",true
"microsoft/Typescript",58592,"sheetalkamat",false
"microsoft/Typescript",58592,"weswigham",true
"microsoft/Typescript",58593,"sheetalkamat",false
"microsoft/Typescript",58593,"weswigham",true
"microsoft/Typescript",58594,"andrewbranch",true
"microsoft/Typescript",58595,"sheetalkamat",true
"microsoft/Typescript",58596,"dragomirtitian",false
"microsoft/Typescript",58596,"jakebailey",true
"microsoft/Typescript",58596,"weswigham",false
"microsoft/Typescript",58597,"andrewbranch",false
"microsoft/Typescript",58597,"jakebailey",true
"microsoft/Typescript",58597,"sheetalkamat",true
"microsoft/Typescript",58605,"jakebailey",true
"microsoft/Typescript",58605,"sheetalkamat",true
"microsoft/Typescript",58608,"DanielRosenwasser",true
"microsoft/Typescript",58608,"iisaduan",false
"microsoft/Typescript",58608,"jakebailey",false
"microsoft/Typescript",58608,"rbuckton",false
"microsoft/Typescript",58609,"jakebailey",true
"microsoft/Typescript",58610,"jakebailey",false
"microsoft/Typescript",58610,"sandersn",true
"microsoft/Typescript",58610,"weswigham",false
"microsoft/Typescript",58612,"rbuckton",true
"microsoft/Typescript",58613,"rbuckton",true
"microsoft/Typescript",58615,"rbuckton",true
"microsoft/Typescript",58620,"dragomirtitian",false
"microsoft/Typescript",58620,"weswigham",true
"microsoft/Typescript",58621,"gabritto",true
"microsoft/Typescript",58621,"rbuckton",false
"microsoft/Typescript",58623,"jakebailey",true
"microsoft/Typescript",58623,"rbuckton",true
"microsoft/Typescript",58624,"sandersn",true
"microsoft/Typescript",58625,"sheetalkamat",true
"microsoft/Typescript",58626,"andrewbranch",true
"microsoft/Typescript",58626,"jakebailey",true
"microsoft/Typescript",58626,"sheetalkamat",false
"microsoft/Typescript",58628,"weswigham",true
"microsoft/Typescript",58635,"jakebailey",true
"microsoft/Typescript",58635,"weswigham",false
"microsoft/Typescript",58637,"weswigham",true
"microsoft/Typescript",58639,"DanielRosenwasser",true
"microsoft/Typescript",58639,"sheetalkamat",true
"microsoft/Typescript",58640,"evanw",false
"microsoft/Typescript",58640,"rbuckton",true
"microsoft/Typescript",58641,"jakebailey",true
"microsoft/Typescript",58646,"weswigham",true
"microsoft/Typescript",58650,"DanielRosenwasser",false
"microsoft/Typescript",58650,"ahejlsberg",false
"microsoft/Typescript",58650,"gabritto",true
"microsoft/Typescript",58652,"jakebailey",true
"microsoft/Typescript",58654,"andrewbranch",true
"microsoft/Typescript",58654,"gabritto",false
"microsoft/Typescript",58654,"rbuckton",true
"microsoft/Typescript",58668,"Andarist",false
"microsoft/Typescript",58668,"ehoogeveen-medweb",false
"microsoft/Typescript",58668,"fatcerberus",false
"microsoft/Typescript",58668,"jakebailey",true
"microsoft/Typescript",58668,"sheetalkamat",true
"microsoft/Typescript",58669,"Andarist",false
"microsoft/Typescript",58669,"jakebailey",true
"microsoft/Typescript",58677,"DanielRosenwasser",true
"microsoft/Typescript",58677,"rbuckton",true
"microsoft/Typescript",58679,"andrewbranch",true
"microsoft/Typescript",58702,"Andarist",false
"microsoft/Typescript",58702,"ahejlsberg",true
"microsoft/Typescript",58706,"jakebailey",true
"microsoft/Typescript",58708,"Andarist",false
"microsoft/Typescript",58708,"jakebailey",true
"microsoft/Typescript",58708,"weswigham",true
"microsoft/Typescript",58715,"dragomirtitian",false
"microsoft/Typescript",58715,"rbuckton",false
"microsoft/Typescript",58715,"weswigham",true
"microsoft/Typescript",58718,"andrewbranch",true
"microsoft/Typescript",58719,"jakebailey",true
"microsoft/Typescript",58720,"weswigham",true
"microsoft/Typescript",58722,"blickly",false
"microsoft/Typescript",58722,"jakebailey",true
"microsoft/Typescript",58727,"jakebailey",true
"microsoft/Typescript",58742,"DanielRosenwasser",true
"microsoft/Typescript",58742,"andrewbranch",true
"microsoft/Typescript",58742,"iisaduan",false
"microsoft/Typescript",58750,"weswigham",true
"microsoft/Typescript",58753,"jakebailey",true
"microsoft/Typescript",58755,"DanielRosenwasser",true
"microsoft/Typescript",58758,"DanielRosenwasser",true
"microsoft/Typescript",58758,"dragomirtitian",false
"microsoft/Typescript",58758,"jakebailey",false
"microsoft/Typescript",58760,"jakebailey",true
"microsoft/Typescript",58761,"jakebailey",true
"microsoft/Typescript",58768,"DanielRosenwasser",true
"microsoft/Typescript",58771,"jakebailey",true
"microsoft/Typescript",58782,"jakebailey",true
"microsoft/Typescript",58782,"sheetalkamat",false
"microsoft/Typescript",58786,"Andarist",false
"microsoft/Typescript",58786,"weswigham",true
"microsoft/Typescript",58789,"jakebailey",true
"microsoft/Typescript",58810,"Andarist",false
"microsoft/Typescript",58810,"MichaelMitchell-at",false
"microsoft/Typescript",58810,"jakebailey",true
"microsoft/Typescript",58810,"weswigham",true
"microsoft/Typescript",58811,"DanielRosenwasser",true
"microsoft/Typescript",58811,"andrewbranch",true
"microsoft/Typescript",58814,"jakebailey",true
"microsoft/Typescript",58816,"jakebailey",true
"microsoft/Typescript",58818,"Jack-Works",false
"microsoft/Typescript",58818,"andrewbranch",true
"microsoft/Typescript",58818,"jakebailey",true
"microsoft/Typescript",58825,"andrewbranch",false
"microsoft/Typescript",58825,"jakebailey",true
"microsoft/Typescript",58825,"sheetalkamat",true
"microsoft/Typescript",58825,"weswigham",false
"microsoft/Typescript",58831,"sheetalkamat",true
"microsoft/Typescript",58832,"RyanCavanaugh",true
"microsoft/Typescript",58837,"andrewbranch",false
"microsoft/Typescript",58837,"jakebailey",true
"microsoft/Typescript",58837,"sheetalkamat",true
"microsoft/Typescript",58838,"jakebailey",true
"microsoft/Typescript",58838,"sheetalkamat",false
"microsoft/Typescript",58838,"weswigham",true
"microsoft/Typescript",58839,"fatcerberus",false
"microsoft/Typescript",58839,"jakebailey",false
"microsoft/Typescript",58839,"sheetalkamat",false
"microsoft/Typescript",58839,"weswigham",true
"microsoft/Typescript",58840,"jakebailey",true
"microsoft/Typescript",58841,"sandersn",true
"microsoft/Typescript",58845,"gabritto",true
"microsoft/Typescript",58846,"andrewbranch",true
"microsoft/Typescript",58846,"jakebailey",true
